"Category","Name","Source","Destination","HasSkillMd"
"01_核心文档处理Skills","docx","本地分类库","本地Skills功能分类库\01_核心文档处理Skills\docx","True"
"01_核心文档处理Skills","markitdown","本地分类库","本地Skills功能分类库\01_核心文档处理Skills\markitdown","True"
"01_核心文档处理Skills","pdf","本地分类库","本地Skills功能分类库\01_核心文档处理Skills\pdf","True"
"01_核心文档处理Skills","pptx","本地分类库","本地Skills功能分类库\01_核心文档处理Skills\pptx","True"
"01_核心文档处理Skills","xlsx","本地分类库","本地Skills功能分类库\01_核心文档处理Skills\xlsx","True"
"02_文献检索综述引用Skills","academic-research-hub","本地分类库","本地Skills功能分类库\02_文献检索综述引用Skills\academic-research-hub","True"
"02_文献检索综述引用Skills","academic-research-openalex","本地分类库","本地Skills功能分类库\02_文献检索综述引用Skills\academic-research-openalex","True"
"02_文献检索综述引用Skills","ai4scholar-author-intelligence","本地分类库","本地Skills功能分类库\02_文献检索综述引用Skills\ai4scholar-author-intelligence","True"
"02_文献检索综述引用Skills","ai4scholar-auto-citation-bibtex","本地分类库","本地Skills功能分类库\02_文献检索综述引用Skills\ai4scholar-auto-citation-bibtex","True"
"02_文献检索综述引用Skills","ai4scholar-citation-network","本地分类库","本地Skills功能分类库\02_文献检索综述引用Skills\ai4scholar-citation-network","True"
"02_文献检索综述引用Skills","ai4scholar-paper-detail-batch","本地分类库","本地Skills功能分类库\02_文献检索综述引用Skills\ai4scholar-paper-detail-batch","True"
"02_文献检索综述引用Skills","ai4scholar-paper-recommendation","本地分类库","本地Skills功能分类库\02_文献检索综述引用Skills\ai4scholar-paper-recommendation","True"
"02_文献检索综述引用Skills","ai4scholar-paper-search","本地分类库","本地Skills功能分类库\02_文献检索综述引用Skills\ai4scholar-paper-search","True"
"02_文献检索综述引用Skills","ai4scholar-pdf-fulltext-reading","本地分类库","本地Skills功能分类库\02_文献检索综述引用Skills\ai4scholar-pdf-fulltext-reading","True"
"02_文献检索综述引用Skills","ai4scholar-research","本地分类库","本地Skills功能分类库\02_文献检索综述引用Skills\ai4scholar-research","True"
"02_文献检索综述引用Skills","aminer-mcp-research","本地分类库","本地Skills功能分类库\02_文献检索综述引用Skills\aminer-mcp-research","True"
"02_文献检索综述引用Skills","arxiv-watcher","本地分类库","本地Skills功能分类库\02_文献检索综述引用Skills\arxiv-watcher","True"
"02_文献检索综述引用Skills","citation-management","本地分类库","本地Skills功能分类库\02_文献检索综述引用Skills\citation-management","True"
"02_文献检索综述引用Skills","literature-review","本地分类库","本地Skills功能分类库\02_文献检索综述引用Skills\literature-review","True"
"02_文献检索综述引用Skills","literature-reviewer-skill","本地分类库","本地Skills功能分类库\02_文献检索综述引用Skills\literature-reviewer-skill","True"
"02_文献检索综述引用Skills","paper-innovation-extractor","本地分类库","本地Skills功能分类库\02_文献检索综述引用Skills\paper-innovation-extractor","True"
"02_文献检索综述引用Skills","pdf-paper-summary","本地分类库","本地Skills功能分类库\02_文献检索综述引用Skills\pdf-paper-summary","True"
