participant_id,explainability,expertise,mc_explainability,realism_check,trust1,trust2,trust3,trust,adoption_intention,attention_pass
1,low,2,2.1,5.2,3.0,3.2,3.1,3.10,3.2,1
2,low,3,2.3,5.0,3.2,3.1,3.3,3.20,3.4,1
3,low,1,2.0,4.8,2.8,3.0,2.9,2.90,3.0,1
4,low,4,2.4,5.1,3.1,3.3,3.2,3.20,3.5,1
5,low,2,2.2,4.9,3.0,3.1,3.0,3.03,3.1,1
6,low,5,2.5,5.3,3.4,3.5,3.3,3.40,3.8,1
7,low,3,2.3,5.0,3.1,3.2,3.2,3.17,3.3,1
8,low,1,1.9,4.7,2.7,2.9,2.8,2.80,2.9,1
9,low,4,2.4,5.2,3.3,3.4,3.2,3.30,3.6,1
10,low,2,2.1,5.1,3.0,3.0,3.1,3.03,3.2,1
11,low,5,2.6,5.4,3.5,3.6,3.4,3.50,3.9,1
12,low,3,2.2,5.0,3.1,3.3,3.1,3.17,3.4,1
13,high,2,5.7,5.3,4.1,4.2,4.0,4.10,4.4,1
14,high,3,5.9,5.1,4.3,4.2,4.4,4.30,4.6,1
15,high,1,5.5,4.9,3.8,4.0,3.9,3.90,4.1,1
16,high,4,6.0,5.2,4.4,4.5,4.3,4.40,4.8,1
17,high,2,5.6,5.0,4.0,4.1,4.0,4.03,4.3,1
18,high,5,6.2,5.4,4.7,4.8,4.6,4.70,5.1,1
19,high,3,5.8,5.1,4.2,4.3,4.1,4.20,4.5,1
20,high,1,5.4,4.8,3.7,3.9,3.8,3.80,4.0,1
21,high,4,6.1,5.3,4.5,4.6,4.4,4.50,4.9,1
22,high,2,5.6,5.0,4.0,4.2,4.1,4.10,4.4,1
23,high,5,6.3,5.5,4.8,4.9,4.7,4.80,5.2,1
24,high,3,5.9,5.2,4.3,4.4,4.2,4.30,4.7,1
