,adoption_intention,explainability,trust,expertise,mc_explainability,realism_check
count,24.0,24,24.0,24.0,24.0,24.0
unique,,2,,,,
top,,low,,,,
freq,,12,,,,
mean,3.9708333333333337,,3.7055555555555557,2.9166666666666665,4.041666666666667,5.104166666666667
std,0.7092428091414397,,0.62024357586173,1.3486439781165913,1.846245700985055,0.20531876948162653
min,2.9,,2.7999999999999994,1.0,1.9,4.7
25%,3.375,,3.1666666666666665,2.0,2.275,5.0
50%,3.95,,3.6499999999999995,3.0,4.0,5.1
75%,4.525,,4.225,4.0,5.825,5.225
max,5.2,,4.8,5.0,6.3,5.5
