"Category","Name","Source","Destination","HasSkillMd"
"01_核心文档处理Skills","docx","零基础教学包内置镜像","零基础教学包\10_完整功能Skills库\01_核心文档处理Skills\docx","True"
"01_核心文档处理Skills","markitdown","零基础教学包内置镜像","零基础教学包\10_完整功能Skills库\01_核心文档处理Skills\markitdown","True"
"01_核心文档处理Skills","pdf","零基础教学包内置镜像","零基础教学包\10_完整功能Skills库\01_核心文档处理Skills\pdf","True"
"01_核心文档处理Skills","pptx","零基础教学包内置镜像","零基础教学包\10_完整功能Skills库\01_核心文档处理Skills\pptx","True"
"01_核心文档处理Skills","xlsx","零基础教学包内置镜像","零基础教学包\10_完整功能Skills库\01_核心文档处理Skills\xlsx","True"
"02_文献检索综述引用Skills","academic-research-hub","零基础教学包内置镜像","零基础教学包\10_完整功能Skills库\02_文献检索综述引用Skills\academic-research-hub","True"
"02_文献检索综述引用Skills","academic-research-openalex","零基础教学包内置镜像","零基础教学包\10_完整功能Skills库\02_文献检索综述引用Skills\academic-research-openalex","True"
"02_文献检索综述引用Skills","ai4scholar-author-intelligence","零基础教学包内置镜像","零基础教学包\10_完整功能Skills库\02_文献检索综述引用Skills\ai4scholar-author-intelligence","True"
"02_文献检索综述引用Skills","ai4scholar-auto-citation-bibtex","零基础教学包内置镜像","零基础教学包\10_完整功能Skills库\02_文献检索综述引用Skills\ai4scholar-auto-citation-bibtex","True"
"02_文献检索综述引用Skills","ai4scholar-citation-network","零基础教学包内置镜像","零基础教学包\10_完整功能Skills库\02_文献检索综述引用Skills\ai4scholar-citation-network","True"
"02_文献检索综述引用Skills","ai4scholar-paper-detail-batch","零基础教学包内置镜像","零基础教学包\10_完整功能Skills库\02_文献检索综述引用Skills\ai4scholar-paper-detail-batch","True"
"02_文献检索综述引用Skills","ai4scholar-paper-recommendation","零基础教学包内置镜像","零基础教学包\10_完整功能Skills库\02_文献检索综述引用Skills\ai4scholar-paper-recommendation","True"
"02_文献检索综述引用Skills","ai4scholar-paper-search","零基础教学包内置镜像","零基础教学包\10_完整功能Skills库\02_文献检索综述引用Skills\ai4scholar-paper-search","True"
"02_文献检索综述引用Skills","ai4scholar-pdf-fulltext-reading","零基础教学包内置镜像","零基础教学包\10_完整功能Skills库\02_文献检索综述引用Skills\ai4scholar-pdf-fulltext-reading","True"
"02_文献检索综述引用Skills","ai4scholar-research","零基础教学包内置镜像","零基础教学包\10_完整功能Skills库\02_文献检索综述引用Skills\ai4scholar-research","True"
"02_文献检索综述引用Skills","aminer-mcp-research","零基础教学包内置镜像","零基础教学包\10_完整功能Skills库\02_文献检索综述引用Skills\aminer-mcp-research","True"
"02_文献检索综述引用Skills","arxiv-watcher","零基础教学包内置镜像","零基础教学包\10_完整功能Skills库\02_文献检索综述引用Skills\arxiv-watcher","True"
"02_文献检索综述引用Skills","citation-management","零基础教学包内置镜像","零基础教学包\10_完整功能Skills库\02_文献检索综述引用Skills\citation-management","True"
"02_文献检索综述引用Skills","literature-review","零基础教学包内置镜像","零基础教学包\10_完整功能Skills库\02_文献检索综述引用Skills\literature-review","True"
"02_文献检索综述引用Skills","literature-reviewer-skill","零基础教学包内置镜像","零基础教学包\10_完整功能Skills库\02_文献检索综述引用Skills\literature-reviewer-skill","True"
"02_文献检索综述引用Skills","paper-innovation-extractor","零基础教学包内置镜像","零基础教学包\10_完整功能Skills库\02_文献检索综述引用Skills\paper-innovation-extractor","True"
"02_文献检索综述引用Skills","pdf-paper-summary","零基础教学包内置镜像","零基础教学包\10_完整功能Skills库\02_文献检索综述引用Skills\pdf-paper-summary","True"
"02_文献检索综述引用Skills","research-lookup","零基础教学包内置镜像","零基础教学包\10_完整功能Skills库\02_文献检索综述引用Skills\research-lookup","True"
"02_文献检索综述引用Skills","research-superpower","零基础教学包内置镜像","零基础教学包\10_完整功能Skills库\02_文献检索综述引用Skills\research-superpower","True"
"02_文献检索综述引用Skills","ssci-literature-review","零基础教学包内置镜像","零基础教学包\10_完整功能Skills库\02_文献检索综述引用Skills\ssci-literature-review","True"
"03_CNKI选题与中文文献Skills","cnki-crawler-literature","零基础教学包内置镜像","零基础教学包\10_完整功能Skills库\03_CNKI选题与中文文献Skills\cnki-crawler-literature","True"
"03_CNKI选题与中文文献Skills","cnki-crawler-topic","零基础教学包内置镜像","零基础教学包\10_完整功能Skills库\03_CNKI选题与中文文献Skills\cnki-crawler-topic","True"
"03_CNKI选题与中文文献Skills","cnki-exp-search-automation","零基础教学包内置镜像","零基础教学包\10_完整功能Skills库\03_CNKI选题与中文文献Skills\cnki-exp-search-automation","True"
"03_CNKI选题与中文文献Skills","cnki-rank","零基础教学包内置镜像","零基础教学包\10_完整功能Skills库\03_CNKI选题与中文文献Skills\cnki-rank","True"
"03_CNKI选题与中文文献Skills","cnki-research-assistant","零基础教学包内置镜像","零基础教学包\10_完整功能Skills库\03_CNKI选题与中文文献Skills\cnki-research-assistant","True"
"03_CNKI选题与中文文献Skills","cnki-trend","零基础教学包内置镜像","零基础教学包\10_完整功能Skills库\03_CNKI选题与中文文献Skills\cnki-trend","True"
"04_数据采集整合与实证Skills","data-visualization-analysis","零基础教学包内置镜像","零基础教学包\10_完整功能Skills库\04_数据采集整合与实证Skills\data-visualization-analysis","True"
